output,prompt
"import React, { Component } from 'react';
import I18n from 'react-native-i18n';
import { connect } from 'react-redux';
import { View, Text, TouchableOpacity, Image, ScrollView, Alert } from 'react-native';

import { Styles, Metrics, Images, Colors, Fonts } from '@theme/';
import styles from './styles';
import CommonWidgets from '@components/CommonWidgets';
import Utils from '@src/utils';

import { Avatar } from 'react-native-elements';

class AboutCell extends Component {
  render() {
    return (
      <View style={[styles.container, Styles.rowContainer]}>
        <View style={Styles.center}>
          {CommonWidgets.renderSizedAvatar(this.props.imgPath, null, Metrics.aboutAvatarSize)}
        </View>
        <View style={{ width: 20 }} />
        <View style={{ flex: 1, justifyContent: 'center' }}>
          <Text style={{ ...Fonts.style.h4, color: Colors.brandPrimary }}>{this.props.name}</Text>
          <Text style={{ ...Fonts.style.h4, color: Colors.textPrimary }}>{this.props.job}</Text>
          <Text style={{ ...Fonts.style.h4, color: Colors.textPrimary }}>{this.props.school}</Text>
        </View>
      </View>
    );
  }
}

AboutCell.propTypes = {
  imgPath: React.PropTypes.string.isRequired,
  name: React.PropTypes.string.isRequired,
  job: React.PropTypes.string.isRequired,
  school: React.PropTypes.string.isRequired,
};

AboutCell.defaultProps = {
  imgPath: 'https://facebook.github.io/react/img/logo_og.png',
  name: 'All American',
  job: ""Head-Coach: Women's Basketball"",
  school: 'Washington University',
};

function mapStateToProps(state) {
  const globals = state.get('globals');
  return { globals };
}

export default connect(mapStateToProps, null)(AboutCell);
","Generate the code to make an About Cell component using React Native that has a profile picture, followed by a name, job, and school."
"import React from 'react';
import pure from 'recompose/pure';
import SvgIcon from '../../SvgIcon';

let ActionVisibility = (props) => (
  <SvgIcon {...props}>
    <path d=""M12 4.5C7 4.5 2.73 7.61 1 12c1.73 4.39 6 7.5 11 7.5s9.27-3.11 11-7.5c-1.73-4.39-6-7.5-11-7.5zM12 17c-2.76 0-5-2.24-5-5s2.24-5 5-5 5 2.24 5 5-2.24 5-5 5zm0-8c-1.66 0-3 1.34-3 3s1.34 3 3 3 3-1.34 3-3-1.34-3-3-3z""/>
  </SvgIcon>
);
ActionVisibility = pure(ActionVisibility);
ActionVisibility.displayName = 'ActionVisibility';
ActionVisibility.muiName = 'SvgIcon';

export default ActionVisibility;
",Create a React component that renders the Material Design visibility icon. The icon should be composed of an SVG path and should be pure using the recompose library.
"import React, { Component } from 'react';
import {
  View,
  Text,
  StyleSheet,
  Image,
} from 'react-native';

import Icon from 'react-native-vector-icons/MaterialIcons';

import HaircutDetails from './HaircutDetails';
import Touchable from '../common/Touchable';

export default class HaircutHistoryItem extends Component {
  _openDetails() {
    this.props.navigator.push({
      component: HaircutDetails,
      passProps: {appointment: this.props.appointment}
    });
  }

  _iconForStatus(status) {
    switch (status) {
      case 'finished':
        return 'alarm-on';
      case 'canceled':
        return 'alarm-off';
      case 'scheduled':
        return 'alarm';
    }
  }

  render() {
    const { appointment } = this.props;
    const { schedule, barber } = appointment;

    return(
      <Touchable style={styles.card} onPress={this._openDetails.bind(this)}>
        <View>
          <View>
            <Text style={styles.date} numberOfLines={1}>{schedule.day_number} de {schedule.month_name} às {schedule.hour}</Text>
            <Text style={styles.barber} numberOfLines={1}>{barber.name}</Text>
            <View style={styles.statusContainer}>
              <Icon name={this._iconForStatus(appointment.status)} size={24} color='#003459' style={styles.icon} />
              <Text>{appointment.translated_status}</Text>
            </View>
          </View>
        </View>
      </Touchable>
    );
  }
}

var styles = StyleSheet.create({
  card: {
    flexDirection: 'column',
    backgroundColor: 'white',
    borderColor: '#E8E8E8',
    borderWidth: 1,
    padding: 10,
    marginBottom: 10,
    borderRadius: 2,
    elevation: 2,
    flex: 1
  },
  date: {
    fontWeight: 'bold',
    color: '#292929',
    fontSize: 18
  },
  barber: {
    color: '#A2A2A2',
    fontSize: 18
  },
  icon: {
    marginRight: 5
  },
  statusContainer: {
    flexDirection: 'row',
    marginTop: 5,
    alignItems: 'center'
  }
});
","Generate the code for a React Native component that displays a list item for a haircare appointment history. The component should have the following features:

- It should accept an appointment object as a prop that has the following properties:
  - schedule: An object with the date and time of the appointment
  - barber: An object with the name of the barber
  - status: A string indicating the status of the appointment (e.g., ""finished"", ""canceled"", ""scheduled"")
  - translated_status: A localized string representing the status of the appointment
- It should display the date and time of the appointment, the name of the barber, and the status of the appointment.
- It should display an icon next to the status that represents the status (e.g., a checkmark for ""finished"", an ""x"" for ""canceled"", and a clock for ""scheduled"").
- It should be clickable and, when clicked, it should navigate to a details page for the appointment."
"import React from 'react';
import { Link } from 'react-router';
import { Table, Button, Row, Col } from 'react-bootstrap';
import styles from './style.css';
import CustomAxios from '../../common/components/CustomAxios';
import NewClientForm from '../../common/components/NewClientForm';
import LoadingGifModal from '../../common/components/LoadingGifModal';
import dateFormat from 'dateFormat';

export default class ClientListPage extends React.Component {
  constructor() {
    super()
    this.state = {
      data: [],
      modalShow: false,
      loadingShow: false
    }

    this.showModal = this.showModal.bind(this);
    this.closeModal = this.closeModal.bind(this);
    this.refreshData = this.refreshData.bind(this);
    this.showLoading = this.showLoading.bind(this);
    this.hideLoading = this.hideLoading.bind(this);
  }

  componentDidMount() {
    this.getData();
  }
  
  getData() {
    this.showLoading();
    const axios = CustomAxios.wAxios;    
    axios.get('/basic_clients_data/')
      .then(function (response) {
        const results = response.data.results;
        var data = [];
        results.forEach(function(client,index) {
          data.push(
            <tr key={index}>
              <th>{index + 1}</th>
              <th><Link to={'/home/client/'+ client.pk} >{client.first_name + ' ' + client.last_name}</Link></th>
              <th>{client.atoll.name}</th>
              <th>{dateFormat(client.created_at, 'fullDate')}</th>
            </tr>
          );
        });
        this.setState({ data:data });
        this.hideLoading();
      }.bind(this))
      .catch(function (error) {
        console.log(error);
      });
  }

  showModal() {
    this.setState(() => ({
      modalShow: true
    }))
  }

  closeModal() {
    this.setState(() => ({
      modalShow: false
    }))
  }

  showLoading() {
    this.setState({
      loadingShow: true
    });
  }

  hideLoading() {
    this.setState({
      loadingShow: false
    });
  }

  refreshData() {
    this.setState(() => ({
      modalShow: false
    }))

    // Refresh data from Database
    this.getData();
    console.log('data refreshed');
  }

  render() {
    
    return (
      <div className={styles.content}>
        <h1 className={styles.heading}>Client Listing</h1>
        <Row>
          <Button bsStyle=""success"" className={styles.addButton} onClick={this.showModal}>+</Button>
        </Row>
        <Row>
          <Table striped bordered condensed hover responsive>
            <thead>
              <tr>
                <th>#</th>
                <th>Name</th>
                <th>Atoll</th>
                <th>Input Date</th>
              </tr>
            </thead>
            <tbody>
              {this.state.data}
            </tbody>
          </Table>
        </Row>
        <NewClientForm show={this.state.modalShow} onHide={this.closeModal} onAdd={()=>this.refreshData()} />
        <LoadingGifModal show={this.state.loadingShow} onHide={this.hideLoading} label='Loading Clients...'/>
      </div>
    );
  }
}
","Generate a React component that lists clients in a table with the following details: name, atoll, and input date. The component should also have a button to add a new client, which will open a modal form for inputting the client's details. The data should be fetched from an external API endpoint using Axios, and a loading indicator should be displayed while the data is being fetched."
"/**
 *  Copyright 2016 ReSys OÜ
 *
 * Licensed under the Apache License, Version 2.0 (the ""License"");
 * you may not use this file except in compliance with the License.
 * You may obtain a copy of the License at
 *
 *    http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */

import React from 'react';
import {connectToAnswer} from '../utils/formUtils';
import Errors from './Errors';
import classnames from 'classnames';
import Item from './Item';
import Label from './Label';
import { injectIntl, FormattedMessage } from 'react-intl';

// Form item for boolean (yes/no) questions
class BooleanQuestion extends Item {

  onChange(value) {
    this.props.answerQuestion(this.props.question[0], value);
  }

  // Keyboard interaction
  keyPress(event) {
    let keyCode = event.keyCode;
    switch (keyCode) {
      // Space: toggle
      case 32: this.onChange(!this.props.question[1].get('value'));
               break;
      // Y: yes / true
      case 89: this.onChange(true);
               break;
      // N: no / false
      case 78: this.onChange(false);
               break;
    }
  }

  render() {
    let q = this.question;
    if (!q) {
      return null;
    }
    let rawValue = q.get('value');
    let value = null;
    if (rawValue === true || rawValue === 'true') {
      value = true;
    } else if (rawValue === false || rawValue === 'false') {
      value = false;
    }
    return (
       <div className={this.getStyles()}>
        <Label htmlFor={this.getControlId()} required={this.isRequired()}>{q.get('label')}</Label>
        {this.renderDescription()}
        <div id={this.getControlId()}>
          <div className={classnames('dialob-tristate-control')} tabIndex={0} onKeyDown={this.keyPress.bind(this)}>
            <span className={classnames('dialob-tristate-true', {'dialob-tristate-active': (value === true)})} onClick={this.onChange.bind(this, true)}><FormattedMessage id='yes'/></span>
            <span className={classnames('dialob-tristate-false', {'dialob-tristate-active': (value === false)})} onClick={this.onChange.bind(this, false)}><FormattedMessage id='no'/></span>
          </div>
        </div>
        <Errors errors={q.get('errors')} />
      </div>
    );
  }
}


export const BooleanQuestionConnected = connectToAnswer(injectIntl(BooleanQuestion));

export {
  BooleanQuestionConnected as default,
  BooleanQuestion
};
","Describe a question form component that allows users to select ""Yes"" or ""No"" for a question and handles keyboard inputs for ""space,"" ""Y,"" and ""N"" keys."
"import React from 'react';
import ReactSwipeableViews from 'react-swipeable-views';
import ImmutablePropTypes from 'react-immutable-proptypes';
import PropTypes from 'prop-types';
import Video from 'mastodon/features/video';
import ExtendedVideoPlayer from 'mastodon/components/extended_video_player';
import classNames from 'classnames';
import { defineMessages, injectIntl, FormattedMessage } from 'react-intl';
import IconButton from 'mastodon/components/icon_button';
import ImmutablePureComponent from 'react-immutable-pure-component';
import ImageLoader from './image_loader';
import Icon from 'mastodon/components/icon';

const messages = defineMessages({
  close: { id: 'lightbox.close', defaultMessage: 'Close' },
  previous: { id: 'lightbox.previous', defaultMessage: 'Previous' },
  next: { id: 'lightbox.next', defaultMessage: 'Next' },
});

export const previewState = 'previewMediaModal';

export default @injectIntl
class MediaModal extends ImmutablePureComponent {

  static propTypes = {
    media: ImmutablePropTypes.list.isRequired,
    status: ImmutablePropTypes.map,
    index: PropTypes.number.isRequired,
    onClose: PropTypes.func.isRequired,
    intl: PropTypes.object.isRequired,
  };

  static contextTypes = {
    router: PropTypes.object,
  };

  state = {
    index: null,
    navigationHidden: false,
  };

  handleSwipe = (index) => {
    this.setState({ index: index % this.props.media.size });
  }

  handleNextClick = () => {
    this.setState({ index: (this.getIndex() + 1) % this.props.media.size });
  }

  handlePrevClick = () => {
    this.setState({ index: (this.props.media.size + this.getIndex() - 1) % this.props.media.size });
  }

  handleChangeIndex = (e) => {
    const index = Number(e.currentTarget.getAttribute('data-index'));
    this.setState({ index: index % this.props.media.size });
  }

  handleKeyDown = (e) => {
    switch(e.key) {
    case 'ArrowLeft':
      this.handlePrevClick();
      e.preventDefault();
      e.stopPropagation();
      break;
    case 'ArrowRight':
      this.handleNextClick();
      e.preventDefault();
      e.stopPropagation();
      break;
    }
  }

  componentDidMount () {
    window.addEventListener('keydown', this.handleKeyDown, false);

    if (this.context.router) {
      const history = this.context.router.history;

      history.push(history.location.pathname, previewState);

      this.unlistenHistory = history.listen(() => {
        this.props.onClose();
      });
    }
  }

  componentWillUnmount () {
    window.removeEventListener('keydown', this.handleKeyDown);

    if (this.context.router) {
      this.unlistenHistory();

      if (this.context.router.history.location.state === previewState) {
        this.context.router.history.goBack();
      }
    }
  }

  getIndex () {
    return this.state.index !== null ? this.state.index : this.props.index;
  }

  toggleNavigation = () => {
    this.setState(prevState => ({
      navigationHidden: !prevState.navigationHidden,
    }));
  };

  handleStatusClick = e => {
    if (e.button === 0 && !(e.ctrlKey || e.metaKey)) {
      e.preventDefault();
      this.context.router.history.push(`/statuses/${this.props.status.get('id')}`);
    }
  }

  render () {
    const { media, status, intl, onClose } = this.props;
    const { navigationHidden } = this.state;

    const index = this.getIndex();
    let pagination = [];

    const leftNav  = media.size > 1 && <button tabIndex='0' className='media-modal__nav media-modal__nav--left' onClick={this.handlePrevClick} aria-label={intl.formatMessage(messages.previous)}><Icon id='chevron-left' fixedWidth /></button>;
    const rightNav = media.size > 1 && <button tabIndex='0' className='media-modal__nav  media-modal__nav--right' onClick={this.handleNextClick} aria-label={intl.formatMessage(messages.next)}><Icon id='chevron-right' fixedWidth /></button>;

    if (media.size > 1) {
      pagination = media.map((item, i) => {
        const classes = ['media-modal__button'];
        if (i === index) {
          classes.push('media-modal__button--active');
        }
        return (<li className='media-modal__page-dot' key={i}><button tabIndex='0' className={classes.join(' ')} onClick={this.handleChangeIndex} data-index={i}>{i + 1}</button></li>);
      });
    }

    const content = media.map((image) => {
      const width  = image.getIn(['meta', 'original', 'width']) || null;
      const height = image.getIn(['meta', 'original', 'height']) || null;

      if (image.get('type') === 'image') {
        return (
          <ImageLoader
            previewSrc={image.get('preview_url')}
            src={image.get('url')}
            width={width}
            height={height}
            alt={image.get('description')}
            key={image.get('url')}
            onClick={this.toggleNavigation}
          />
        );
      } else if (image.get('type') === 'video') {
        const { time } = this.props;

        return (
          <Video
            preview={image.get('preview_url')}
            blurhash={image.get('blurhash')}
            src={image.get('url')}
            width={image.get('width')}
            height={image.get('height')}
            startTime={time || 0}
            onCloseVideo={onClose}
            detailed
            alt={image.get('description')}
            key={image.get('url')}
          />
        );
      } else if (image.get('type') === 'gifv') {
        return (
          <ExtendedVideoPlayer
            src={image.get('url')}
            muted
            controls={false}
            width={width}
            height={height}
            key={image.get('preview_url')}
            alt={image.get('description')}
            onClick={this.toggleNavigation}
          />
        );
      }

      return null;
    }).toArray();

    // you can't use 100vh, because the viewport height is taller
    // than the visible part of the document in some mobile
    // browsers when it's address bar is visible.
    // https://developers.google.com/web/updates/2016/12/url-bar-resizing
    const swipeableViewsStyle = {
      width: '100%',
      height: '100%',
    };

    const containerStyle = {
      alignItems: 'center', // center vertically
    };

    const navigationClassName = classNames('media-modal__navigation', {
      'media-modal__navigation--hidden': navigationHidden,
    });

    return (
      <div className='modal-root__modal media-modal'>
        <div
          className='media-modal__closer'
          role='presentation'
          onClick={onClose}
        >
          <ReactSwipeableViews
            style={swipeableViewsStyle}
            containerStyle={containerStyle}
            onChangeIndex={this.handleSwipe}
            onSwitching={this.handleSwitching}
            index={index}
          >
            {content}
          </ReactSwipeableViews>
        </div>

        <div className={navigationClassName}>
          <IconButton className='media-modal__close' title={intl.formatMessage(messages.close)} icon='times' onClick={onClose} size={40} />

          {leftNav}
          {rightNav}

          {status && (
            <div className={classNames('media-modal__meta', { 'media-modal__meta--shifted': media.size > 1 })}>
              <a href={status.get('url')} onClick={this.handleStatusClick}><FormattedMessage id='lightbox.view_context' defaultMessage='View context' /></a>
            </div>
          )}

          <ul className='media-modal__pagination'>
            {pagination}
          </ul>
        </div>
      </div>
    );
  }

}
","Write a detailed description of a React-based lightbox component that can display a series of images and videos, allowing users to navigate through them using swipe gestures or buttons. The lightbox should also include a close button and a pagination indicator to indicate the current image or video being displayed."
"import React from 'react'
import HomeProyectos from '../home-proyectos/component'
import HomePropuestas from '../home-propuestas/component'

const HomeForum = (props) => {
  const { params: { forum } } = props
  switch (forum) {
    case 'propuestas':
      return <HomePropuestas {...props} />
    default:
      return <HomeProyectos {...props} />
  }
}

export default HomeForum
","Create a React component that renders a forum page based on a forum parameter in the URL. If the parameter is ""propuestas"", render a ""Home Propuestas"" component. Otherwise, render a ""Home Proyectos"" component."
"import React from 'react';
import PropTypes from 'prop-types';
import c from 'classnames';
import { Wrapper, Button, Menu, MenuItem } from 'react-aria-menubutton';
import { Icon } from 'UI';

const Dropdown = ({
  label,
  button,
  className,
  classNameButton = '',
  dropdownWidth = 'auto',
  dropdownPosition = 'left',
  dropdownTopOverlap = '0',
  children
}) => {
  const style = {
    width: dropdownWidth,
    top: dropdownTopOverlap,
    left: dropdownPosition === 'left' ? 0 : 'auto',
    right: dropdownPosition === 'right' ? 0 : 'auto',
  };
  return (
    <Wrapper className={c('nc-dropdown', className)} onSelection={handler => handler()}>
      {
        button
          ? <Button>{button}</Button>
          : <Button className={c('nc-dropdownButton', classNameButton)}>{label}</Button>
      }
      <Menu>
        <ul className=""nc-dropdownList"" style={style}>
          {children}
        </ul>
      </Menu>
    </Wrapper>
  );
};

const DropdownItem = ({ label, icon, iconDirection, onClick, className }) => (
  <MenuItem className={c('nc-dropdownItem', className)} value={onClick}>
    <span>{label}</span>
    {
      icon
        ? <span className=""nc-dropdownItemIcon"">
            <Icon type={icon} direction={iconDirection} size=""small""/>
          </span>
        : null
    }
  </MenuItem>
);


export { Dropdown, DropdownItem };
","Create a React component that renders a dropdown menu using the Aria-menubutton package. The dropdown should have the following features:

* A label or button to open the dropdown.
* A dropdown menu that appears beneath or to the side of the button.
* An optional width for the dropdown menu.
* An optional position for the dropdown menu (left, right, or below).
* An optional top overlap for the dropdown menu.
* Support for nesting dropdown items."
"'use strict';

import React from 'react';
import DataTableView from './../DataTableView';
import Map from './../../containers/MapContainer';

class EventsDetailView extends React.Component {

  constructor(props) {
    super(props);
    const path = window.location.pathname.split('/');
    this.eventId = path[path.length - 1];

    this.state = {
      activeTab: ""tab1"",
      currentEvent: this.eventId
    };
  }

  componentDidMount() {
    //All mapathons
    this.props.setEventDetail(this.eventId);
  }

  changeTab(tab) {
    this.setState({activeTab: tab});
  }

  render() {
    /*
    Slug must match with column name from API.
     */
    const taskTable = (
      <DataTableView
        identity=""tasks""
        base_url=""/tasks""
        data={this.props.eventDetail && this.props.eventDetail.tasks}
        columns={[
          { title: 'Deadline', slug: 'deadline' },
          { title: 'Task Name', slug: 'name' },
          { title: 'Type', slug: 'task_type' },
          { title: 'State', slug: 'status' }
        ]}
      />
    );

    return (
      <div>
        <Map
          tasksList={this.props.eventDetail && this.props.eventDetail.tasks}
          campaignId={this.props.eventDetail && this.props.eventDetail.campaign_id}
          eventId={this.props.eventDetail && this.props.eventDetail.id}
        />
      </div>
    );
  }
}

export default EventsDetailView;
",Generate the code snippet for a React class component that displays a Map and a sortable DataTable. The component should be able to handle tab navigation and fetch data for the DataTableView.
"import React from 'react';
import pure from 'recompose/pure';
import SvgIcon from '../../SvgIcon';

let EditorVerticalAlignTop = (props) => (
  <SvgIcon {...props}>
    <path d=""M8 11h3v10h2V11h3l-4-4-4 4zM4 3v2h16V3H4z""/>
  </SvgIcon>
);
EditorVerticalAlignTop = pure(EditorVerticalAlignTop);
EditorVerticalAlignTop.displayName = 'EditorVerticalAlignTop';
EditorVerticalAlignTop.muiName = 'SvgIcon';

export default EditorVerticalAlignTop;
",Generate a React component that renders a Material Design icon for vertical top text alignment. The icon should be pure and have a display name of 'EditorVerticalAlignTop'.
