prompt,output
"You are tasked with implementing a function that takes an HTTP status code as input and returns the corresponding status message. The HTTP status codes and their meanings are defined in the `HTTP_CODES` object. Your function should handle the following status codes:

- 200: OK
- 201: Created
- 204: No Content
- 400: Bad Request
- 500: Anything else not considered here

Your function should return the status message associated with the input status code. If the input status code does not match any of the defined codes, the function should return ""Unknown Status Code"".

Write a function `getStatusMessage` that takes an integer `statusCode` as input and returns the corresponding status message.

Example:
Input:
```javascript
getStatusMessage(200)
```
Output:
```
""OK""
```
Input:
```javascript
getStatusMessage(404)
```
Output:
```
""Unknown Status Code""
```
 Starter code: * 500 - Anything else not considered here
 */

const HTTP_CODES = {
  OK: 200,
  CREATED: 201,
  NO_CONTENT: 204,
  BAD_REQUEST: 400,
","const HTTP_CODES = {  OK: 200,  CREATED: 201,  NO_CONTENT: 204,  BAD_REQUEST: 400};function getStatusMessage(statusCode) {  switch (statusCode) {    case HTTP_CODES.OK:      return ""OK"";    case HTTP_CODES.CREATED:      return ""Created"";    case HTTP_CODES.NO_CONTENT:      return ""No Content"";    case HTTP_CODES.BAD_REQUEST:      return ""Bad Request"";    default:      return ""Unknown Status Code"";  }}```The `getStatusMessage` function uses a switch statement to match the input `statusCode` with the predefined HTTP status codes in the `HTTP_CODES` object. If a match is found, it returns the corresponding status message. If the input status code does not match any of the defined codes, it returns ""Unknown Status Code""."
"You are tasked with creating a TypeScript class that will be used to ping a specified URL within an Amazon Web Services (AWS) environment. The class should be designed to utilize AWS CDK (Cloud Development Kit) constructs and resources to achieve this functionality.

Your task is to implement the `Pinger` class, which will be a part of an AWS CDK application. The `Pinger` class should have the following properties and functionality:

Properties:
- `url`: A read-only property of type `string` representing the URL to be pinged.
- `securityGroup`: An optional read-only property of type `ec2.SecurityGroup` representing the security group associated with the pinger.
- `vpc`: An optional read-only property of type `ec2.IVpc` representing the VPC (Virtual Private Cloud) associated with the pinger.

Functionality:
- The `Pinger` class should have a constructor that takes in the following parameters:
  - `scope`: The AWS CDK scope in which the pinger will be defined.
  - `id`: A unique identifier for the pinger within the scope.
  - `props`: An object of type `PingerProps` containing the properties mentioned above.

- Within the constructor, the `Pinger` class should create a custom resource using the `CustomResource` construct provided by AWS CDK. The custom resource should be used to execute a Lambda function that performs the actual pinging of the specified URL.

Your task is to implement the `Pinger` class according to the given requirements, utilizing the provided code snippet as a starting point.
 Starter code:  readonly url: string;
  readonly securityGroup?: ec2.SecurityGroup;
  readonly vpc?: ec2.IVpc;
}
export class Pinger extends Construct {

  private _resource: CustomResource;

  constructor(scope: Construct, id: string, props: PingerProps) {
","import * as ec2 from '@aws-cdk/aws-ec2';import { Construct, CustomResource } from '@aws-cdk/core';interface PingerProps {  readonly url: string;  readonly securityGroup?: ec2.SecurityGroup;  readonly vpc?: ec2.IVpc;}export class Pinger extends Construct {  private _resource: CustomResource;  constructor(scope: Construct, id: string, props: PingerProps) {    super(scope, id);    // Create a Lambda function to perform the pinging    const lambdaFunction = ... // Create the Lambda function using AWS CDK constructs    // Define the custom resource to execute the Lambda function    this._resource = new CustomResource(this, 'PingerResource', {      serviceToken: lambdaFunction.functionArn,      properties: {        url: props.url,        securityGroup: props.securityGroup?.securityGroupId,        vpc: props.vpc?.vpcId,      },    });  }}```In the solution, the `Pinger` class is implemented as a TypeScript class that extends the `Construct` class provided by AWS CDK. The constructor takes in the required parameters and creates a custom resource using the `CustomResource` construct. The custom resource is configured to execute a Lambda function, passing the URL, security group, and VPC information as properties. The actual creation of the Lambda function and its associated resources is not shown in the solution, as it would depend on the specific requirements and configuration of the AWS environment."
"You are tasked with implementing a JavaScript function that toggles the visibility of an HTML element based on a given condition. The function should take in three parameters: `element`, `doHide`, and `isHidden`. The `element` parameter represents the HTML element to be manipulated, `doHide` is a boolean indicating whether the element should be hidden or shown, and `isHidden` is a function that returns a boolean indicating whether the element is currently hidden.

Your task is to complete the `toggleVisibility` function, which should use the provided parameters to toggle the visibility of the `element` based on the value of `doHide`. If `doHide` is true and the element is not already hidden, the function should add the ""hidden"" class to the element. If `doHide` is false and the element is currently hidden, the function should remove the ""hidden"" class from the element. If the visibility state matches the `doHide` parameter, no action should be taken.

You are not required to write the `isHidden` function, as it is assumed to be provided elsewhere in the codebase.

You can assume that the `element` parameter will always be a valid HTML element, and the `doHide` parameter will always be a boolean.

Your implementation should not use any external libraries or frameworks, and should only modify the `element` by adding or removing the ""hidden"" class.

Complete the `toggleVisibility` function:

```javascript
function toggleVisibility(element, doHide, isHidden) {
    // Your implementation here
}
```
 Starter code:    const hidden = isHidden(element);
    if (hidden == doHide) return;
    if(doHide) {
        element.classList.add(""hidden"");
    } else {
        element.classList.remove(""hidden"");
","function toggleVisibility(element, doHide, isHidden) {    const hidden = isHidden(element);    if (hidden === doHide) return; // No action needed if visibility state matches doHide    if (doHide) {        element.classList.add(""hidden""); // Add ""hidden"" class if doHide is true    } else {        element.classList.remove(""hidden""); // Remove ""hidden"" class if doHide is false    }}```The `toggleVisibility` function first checks the current visibility state of the element using the `isHidden` function. If the visibility state matches the `doHide` parameter, no action is needed, and the function returns early. Otherwise, if `doHide` is true, the ""hidden"" class is added to the element, and if `doHide` is false, the ""hidden"" class is removed from the element. This ensures that the visibility of the element is toggled based on the provided `doHide` parameter."
"You are tasked with implementing a module system for a JavaScript application. The module system should allow the export and import of named components. The code snippet provided is an example of an export statement in this module system.

Your task is to create a function that parses the export statement and returns the exported components as an object. The function should handle multiple named exports and default exports.

Write a function `parseExportStatement` that takes a string representing the export statement as input and returns an object containing the named exports. The export statement will always follow the format `export { Component1, Component2, ... }` or `export { Component1 as Alias1, Component2 as Alias2, ... }`.

Example:
Input: `export { AppBar, MenuIcon }`
Output: `{ AppBar: 'AppBar', MenuIcon: 'MenuIcon' }`

Input: `export { AppBar as Header, MenuIcon }`
Output: `{ Header: 'AppBar', MenuIcon: 'MenuIcon' }`

Note:
- The exported components may contain alphanumeric characters and underscores.
- The export statement will always be well-formed and valid.
 Starter code:
export { AppBar, MenuIcon }
","function parseExportStatement(exportStatement) {  const namedExports = exportStatement    .replace(/export\s*{\s*|\s*}/g, '') // Remove 'export {' and '}'    .split(',')    .map(exportItem => {      const [originalName, aliasName] = exportItem.trim().split(' as ');      return [aliasName || originalName, originalName];    });  const namedExportsObject = namedExports.reduce((acc, [alias, original]) => {    acc[alias] = original;    return acc;  }, {});  return namedExportsObject;}// Test casesconsole.log(parseExportStatement(""export { AppBar, MenuIcon }"")); // Output: { AppBar: 'AppBar', MenuIcon: 'MenuIcon' }console.log(parseExportStatement(""export { AppBar as Header, MenuIcon }"")); // Output: { Header: 'AppBar', MenuIcon: 'MenuIcon' }```"
"You are tasked with implementing a function that processes user profile images based on certain conditions. The function should check if the user's profile is public and if the user has uploaded any images. If both conditions are met, the function should log the selected image and then update the image in the database using an asynchronous mutation.

You are provided with a code snippet that demonstrates the conditions and actions to be taken. Your task is to write a function that replicates this behavior.

Code Snippet:
```javascript
if (!isPublicProfile && userProfile?.images?.length > 0) {
  console.log(selectedImage)
  await updateImageDBMutation(selectedImage)
}
```

Your function should replicate the behavior of the code snippet, considering the conditions and actions specified.
 Starter code:        !isPublicProfile &&
        userProfile?.images?.length > 0
      ) {
        console.log(selectedImage)
        await updateImageDBMutation(selectedImage)
      }
    })()
  }, [selectedImage])

","/** * Processes user profile images based on certain conditions. * @param {boolean} isPublicProfile - Indicates if the user's profile is public. * @param {Object} userProfile - User's profile object containing images. * @param {string} selectedImage - The selected image to be updated in the database. */async function processUserProfileImages(isPublicProfile, userProfile, selectedImage) {  if (!isPublicProfile && userProfile?.images?.length > 0) {    console.log(selectedImage);    await updateImageDBMutation(selectedImage);  }}```In the solution, a function `processUserProfileImages` is defined, which takes `isPublicProfile`, `userProfile`, and `selectedImage` as parameters. It checks if the user's profile is not public and if the user has uploaded any images. If both conditions are met, it logs the selected image and then updates the image in the database using an asynchronous mutation. This function replicates the behavior of the provided code snippet."
"You are tasked with implementing a simple command pattern in JavaScript. The command pattern is a behavioral design pattern in which an object is used to encapsulate all information needed to perform an action or trigger an event at a later time. In this problem, you will create a set of commands that can be executed at a later time.

Your task is to complete the implementation of a command pattern using the given code snippet as a starting point. The code snippet provides a basic structure for the commands, but it is incomplete. Your goal is to extend this structure to support the execution of commands and the retrieval of command results.

Your implementation should include the following:
1. A way to register new commands with the command pattern.
2. A method to execute a specific command by name, passing any required arguments.
3. A method to retrieve the result of the last executed command.

You should use the given code snippet as a starting point and extend it to support the required functionality.
 Starter code:      return this
    },
  }
}, {})

export default commands
","const commands = {  commandMap: {},  lastResult: null,  registerCommand: function (name, implementation) {    this.commandMap[name] = implementation;  },  executeCommand: function (name, ...args) {    if (this.commandMap[name]) {      this.lastResult = this.commandMap[name](...args);    } else {      throw new Error(`Command '${name}' not found`);    }  },  getLastResult: function () {    return this.lastResult;  }}export default commands;```In the solution, we extend the given code snippet to include the necessary functionality for the command pattern. We create a `commandMap` object to store the registered commands, a `lastResult` variable to store the result of the last executed command, and three methods: `registerCommand`, `executeCommand`, and `getLastResult`.The `registerCommand` method allows new commands to be registered with the command pattern by associating a name with a function implementation. The `executeCommand` method executes a specific command by name, passing any required arguments, and stores the result in the `lastResult` variable. The `getLastResult` method retrieves the result of the last executed command."
"You are tasked with implementing a TypeScript class that manages the deactivation of a component in an Angular application. The class should implement the `CanComponentDeactivate` interface, which requires the implementation of a `canDeactivate` method. This method should return an observable, a promise, or a boolean value indicating whether the component can be deactivated.

Your task is to create a TypeScript class named `DeactivationManager` that implements the `CanComponentDeactivate` interface and provides the necessary functionality to determine if a component can be deactivated.

The `CanComponentDeactivate` interface is defined as follows:
```typescript
import { Observable, UrlTree } from ""rxjs"";

export interface CanComponentDeactivate {
  canDeactivate: () =>
    | Observable<boolean | UrlTree>
    | Promise<boolean | UrlTree>
    | boolean
    | UrlTree;
}
```

Your `DeactivationManager` class should have the following properties and methods:
- A property named `isComponentActive` of type boolean, which indicates whether the component is currently active.
- A method named `canDeactivate` that fulfills the requirements of the `CanComponentDeactivate` interface. This method should return a boolean value indicating whether the component can be deactivated.

Your implementation should adhere to the following rules:
1. If the `isComponentActive` property is `true`, the `canDeactivate` method should return `true`, indicating that the component can be deactivated.
2. If the `isComponentActive` property is `false`, the `canDeactivate` method should return `false`, indicating that the component cannot be deactivated.

You should assume that the `isComponentActive` property is set appropriately before calling the `canDeactivate` method.

Your task is to implement the `DeactivationManager` class according to the given specifications.
 Starter code:
import { Observable, } from ""rxjs"";

export interface CanComponentDeactivate {
  canDeactivate: () =>
    | Observable<boolean | UrlTree>
    | Promise<boolean | UrlTree>
    | boolean
    | UrlTree;
}
","import { Observable, of } from ""rxjs"";import { CanComponentDeactivate } from ""./CanComponentDeactivate""; // Assuming the interface is in a separate fileclass DeactivationManager implements CanComponentDeactivate {  private isComponentActive: boolean;  constructor(isComponentActive: boolean) {    this.isComponentActive = isComponentActive;  }  canDeactivate(): Observable<boolean> {    return of(!this.isComponentActive);  }}// Example usageconst deactivationManager = new DeactivationManager(true);deactivationManager.canDeactivate().subscribe((result) => {  console.log(""Can deactivate:"", result);});```In this solution, the `DeactivationManager` class implements the `CanComponentDeactivate` interface and provides the required functionality to determine if a component can be deactivated. The `canDeactivate` method returns an observable of type boolean, indicating whether the component can be deactivated based on the value of the `isComponentActive` property."
"You are tasked with implementing a TypeScript function that validates whether a given object adheres to a strict set of keys. The function should return an array of keys if the object matches the specified type, and throw a type error if the object contains any additional keys.

You are provided with the following TypeScript code snippet as a starting point:
```typescript
export function strictObjectKeys<T>(obj: T): (keyof T)[] {
    const keys = Object.keys(obj);

    return keys as (keyof T)[];
}
```

Your task is to complete the `strictObjectKeys` function to enforce strict key checking for the input object. The function should accept an object `obj` of type `T` and return an array of keys of type `T`. If the object `obj` contains any keys that are not part of the type `T`, the function should throw a `TypeError` with an appropriate error message.

For example, given the following type and object:
```typescript
type Person = {
    name: string;
    age: number;
};

const validPerson: Person = {
    name: ""Alice"",
    age: 30,
};

const invalidPerson: Person = {
    name: ""Bob"",
    age: 25,
    gender: ""male"",
};
```
The function `strictObjectKeys` should behave as follows:
```typescript
strictObjectKeys(validPerson); // Returns: [""name"", ""age""]
strictObjectKeys(invalidPerson); // Throws TypeError: Invalid key 'gender' found in object
```

Your task is to complete the `strictObjectKeys` function to achieve the specified behavior.
 Starter code:export function strictObjectKeys<T>(obj: T): (keyof T)[] {
    const keys = Object.keys(obj);

    return keys as (keyof T)[];;
}
","export function strictObjectKeys<T>(obj: T): (keyof T)[] {    const expectedKeys = Object.keys(obj) as (keyof T)[];    const actualKeys = Object.keys(obj) as (keyof T)[];    for (const key of actualKeys) {        if (!expectedKeys.includes(key)) {            throw new TypeError(`Invalid key '${key}' found in object`);        }    }    return expectedKeys;}```In the solution, we first obtain the expected keys by casting the result of `Object.keys(obj)` to `(keyof T)[]`. Then, we also obtain the actual keys in the same way. We iterate through the actual keys and check if any of them are not included in the expected keys. If an unexpected key is found, we throw a `TypeError` with an appropriate error message. Otherwise, we return the expected keys. This ensures that the function enforces strict key checking for the input object."
"You are tasked with creating a custom decorator in TypeScript for a NestJS application. The decorator should log the execution time of a method in milliseconds. You are provided with a code snippet from a NestJS module as inspiration:

```typescript
imports: [DatabaseModule, ApplicationModule],
controllers: [ControllersModule]
})
export class InfrastructureModule{}
```

Your task is to create a custom decorator `@LogExecutionTime()` that can be used to measure the execution time of methods within NestJS controllers. The decorator should log the method name and its execution time in milliseconds to the console.

Create a new TypeScript file `logExecutionTime.decorator.ts` and implement the `@LogExecutionTime()` decorator. Apply the decorator to a sample method within a NestJS controller to demonstrate its functionality.

Ensure that the decorator accurately measures the execution time of the method and logs the method name along with the execution time in milliseconds to the console.
 Starter code:  imports: [DatabaseModule, ApplicationModule],
  controllers: [ControllersModule]
})
export class InfrastructureModule{}
","// logExecutionTime.decorator.tsimport { Logger } from '@nestjs/common';export function LogExecutionTime() {  return function (target: any, propertyKey: string, descriptor: PropertyDescriptor) {    const originalMethod = descriptor.value;    descriptor.value = function (...args: any[]) {      const start = process.hrtime();      const result = originalMethod.apply(this, args);      const end = process.hrtime(start);      const executionTimeInMs = Math.round((end[0] * 1000) + (end[1] / 1000000));      Logger.log(`Method ${propertyKey} executed in ${executionTimeInMs}ms`, target.constructor.name);      return result;    };    return descriptor;  };}```To use the `@LogExecutionTime()` decorator, apply it to a method within a NestJS controller:```typescript// sample.controller.tsimport { Controller, Get } from '@nestjs/common';import { LogExecutionTime } from './logExecutionTime.decorator';@Controller('sample')export class SampleController {  @Get()  @LogExecutionTime()  async getSampleData(): Promise<string> {    // Simulate some asynchronous operation    return new Promise((resolve) => {      setTimeout(() => {        resolve('Sample data');      }, 1000);    });  }}```In this solution, the `@LogExecutionTime()` decorator is implemented as a higher-order function that returns a decorator function. The returned decorator function intercepts the method execution, measures the execution time using `process.hrtime()`, logs the method name and execution time in milliseconds using `Logger.log()`, and then returns the method result.When applied to the `getSampleData()` method in the `SampleController`, the `@LogExecutionTime()` decorator accurately measures the execution time of the method and logs the method name along with the execution time in milliseconds to the console."
"You are tasked with implementing a function that simulates a simple vibration pattern on a mobile device. The provided code snippet imports a function `vibrateShort` from a module named `vibrate`. This function is responsible for triggering a short vibration on the device.

Your task is to create a function `vibratePattern` that takes an array of time intervals as input and triggers a vibration pattern based on these intervals. The `vibratePattern` function should call the `vibrateShort` function at the specified time intervals to create the desired vibration pattern.

The `vibrateShort` function is already implemented and can be used to trigger a short vibration. It takes no parameters and returns void.

You should implement the `vibratePattern` function and ensure that it triggers the vibration pattern correctly based on the provided time intervals.

Example:
If the input array is `[100, 200, 300]`, the `vibratePattern` function should trigger a short vibration at 100ms, then wait for 200ms, trigger another short vibration, wait for 300ms, and finally trigger a short vibration.
 Starter code:export { vibrateShort } from '../vibrate'
","import { vibrateShort } from '../vibrate';function vibratePattern(intervals) {  for (let interval of intervals) {    vibrateShort();    setTimeout(() => {}, interval);  }}```In the solution, the `vibratePattern` function takes an array of time intervals as input. It then iterates through each interval in the array. For each interval, it triggers a short vibration using the `vibrateShort` function and then waits for the specified interval using `setTimeout`. This ensures that the vibration pattern is executed based on the provided time intervals."
